                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.97798,                0.59172,                0.99743,                0.91269,                0.92969,                0.93243,                0.62573,                 1.1109,                0.59762,                 1.0964,              0.0006932,              0.0006932,              0.0006932
                     69,                0.90412,                 0.5871,                0.98256,                0.89997,                0.91371,                0.93296,                0.61447,                 1.1484,                0.62105,                 1.1227,              0.0006734,              0.0006734,              0.0006734
                     70,                0.87965,                0.59641,                0.99494,                0.88808,                0.92988,                0.93978,                0.62033,                 1.1162,                 0.6386,                 1.0724,              0.0006536,              0.0006536,              0.0006536
                     71,                0.94299,                 0.5964,                0.98738,                0.92098,                 0.9375,                0.94621,                0.64452,                 1.1005,                0.59606,                 1.0775,              0.0006338,              0.0006338,              0.0006338
                     72,                0.91541,                0.57438,                 1.0131,                0.95865,                 0.9057,                0.93857,                0.64406,                 1.0889,                0.59952,                 1.0668,               0.000614,               0.000614,               0.000614
                     73,                0.89169,                0.58766,                0.99138,                0.90526,                0.89583,                0.93856,                0.64722,                 1.0698,                0.61705,                 1.0608,              0.0005942,              0.0005942,              0.0005942
                     74,                0.92146,                0.56686,                 0.9611,                0.87355,                 0.9175,                0.92047,                0.62407,                 1.0795,                0.69602,                 1.0721,              0.0005744,              0.0005744,              0.0005744
                     75,                0.90188,                0.57597,                0.98796,                0.89131,                0.89693,                0.92442,                0.63244,                 1.0999,                0.64799,                 1.0668,              0.0005546,              0.0005546,              0.0005546
                     76,                0.87073,                 0.5518,                0.95621,                0.93043,                0.85156,                0.92113,                0.60483,                 1.1438,                0.63576,                 1.1394,              0.0005348,              0.0005348,              0.0005348
                     77,                0.87242,                0.55887,                 0.9667,                0.89462,                0.89062,                 0.9086,                 0.5857,                 1.1618,                0.66637,                 1.1406,               0.000515,               0.000515,               0.000515
                     78,                0.90691,                0.54952,                0.94019,                0.90542,                0.90625,                0.91415,                0.61642,                 1.1166,                0.64547,                 1.0968,              0.0004952,              0.0004952,              0.0004952
                     79,                0.91518,                0.55493,                 0.9585,                0.91543,                0.92188,                0.93263,                0.64035,                 1.0886,                0.61461,                 1.0715,              0.0004754,              0.0004754,              0.0004754
                     80,                0.85956,                0.52663,                0.97686,                 0.9411,                 0.8738,                0.92738,                0.64033,                 1.0846,                0.63848,                 1.0705,              0.0004556,              0.0004556,              0.0004556
